FileName,Y,Cb,Cr,Count
Normal_1.png,0.2031988,127.99642,128.06358,27948
Normal_1.png,127.323784,137.52618,117.55922,18676
Normal_1.png,97.803055,130.39478,123.58659,15781
Normal_1.png,112.437294,136.01183,119.05808,15134
Normal_1.png,83.45963,127.841324,126.265785,14986
Normal_1.png,44.743515,133.04765,125.06864,13681
Normal_1.png,60.010105,138.16287,120.92986,11776
Normal_1.png,140.2103,142.53961,112.95959,11703
Normal_1.png,133.07259,159.02704,103.7545,11283
Normal_1.png,118.04147,150.19807,109.72513,10536
Normal_1.png,75.50118,148.79424,113.14184,10138
Normal_1.png,93.48204,153.22649,108.48959,8742
Normal_1.png,168.78891,185.63731,77.89881,7916
Normal_1.png,184.03159,176.04878,71.17935,6334
Normal_1.png,201.03171,164.24347,64.33922,6120
Normal_1.png,109.69972,165.95627,98.70506,5808
Normal_1.png,150.59637,189.65277,81.08335,5639
Normal_1.png,148.31483,172.32744,94.279854,5317
Normal_1.png,128.98141,177.7489,90.60288,5273
Normal_1.png,220.1329,151.39627,57.439655,3273
Normal_10.png,0.26162893,128.01735,128.12561,28055
Normal_10.png,74.4586,136.74994,128.24185,24374
Normal_10.png,67.43517,133.13116,130.24612,17138
Normal_10.png,83.33734,141.15121,125.090744,16618
Normal_10.png,58.776855,130.30602,131.84561,16581
Normal_10.png,92.85935,143.04999,123.37401,11703
Normal_10.png,81.95739,135.84512,128.47775,10608
Normal_10.png,90.92816,136.833,127.474785,10371
Normal_10.png,47.93506,128.91597,132.53757,10317
Normal_10.png,100.65388,138.20335,126.107765,9771
Normal_10.png,126.4293,146.25107,120.62916,8416
Normal_10.png,138.2929,150.64062,117.8659,8150
Normal_10.png,104.17989,144.71812,122.21757,8149
Normal_10.png,113.436226,140.60553,124.10885,6946
Normal_10.png,150.96204,154.80121,114.948456,6771
Normal_10.png,164.38484,157.36473,111.982315,6561
Normal_10.png,115.59363,147.20343,120.589386,6120
Normal_10.png,178.2012,162.95868,107.63268,4816
Normal_10.png,196.14818,165.26869,103.14101,2929
Normal_10.png,232.15015,142.4969,98.68575,646
Normal_100.png,0.10960476,128.00046,128.02393,27882
Normal_100.png,119.62093,123.62793,137.93202,16153
Normal_100.png,71.04176,143.22493,122.431595,14391
Normal_100.png,56.864735,136.9366,126.35999,13928
Normal_100.png,132.98834,125.701385,137.14415,13375
Normal_100.png,107.253105,123.11855,140.07819,12880
Normal_100.png,86.035446,146.52136,120.41863,12751
Normal_100.png,101.19477,148.26608,119.23456,12594
Normal_100.png,156.90944,129.99481,130.77393,11386
Normal_100.png,146.63193,127.54113,137.4908,11245
Normal_100.png,42.40967,132.63991,130.15253,8995
Normal_100.png,115.55849,144.86307,122.54763,8566
Normal_100.png,144.3761,137.46812,128.23622,7421
Normal_100.png,128.32571,137.05357,128.26813,6963
Normal_100.png,72.12062,128.98096,136.28842,6931
Normal_100.png,132.71368,147.82541,120.13035,6552
Normal_100.png,89.47799,127.806465,136.05762,6247
Normal_100.png,158.82199,145.6963,121.5747,5904
Normal_100.png,104.675964,137.15132,128.70267,5842
Normal_100.png,115.44158,154.44157,114.605484,5546
Normal_101.png,0.16720028,127.98541,128.09605,28110
Normal_101.png,32.17957,129.60898,129.58475,16467
Normal_101.png,105.78107,122.66167,133.16245,14849
Normal_101.png,45.71062,132.93872,127.85439,14182
Normal_101.png,123.40041,123.06516,132.33548,13199
Normal_101.png,60.185226,136.33061,125.56987,12050
Normal_101.png,89.64173,122.95225,133.3927,11790
Normal_101.png,142.11215,123.12327,131.2309,11057
Normal_101.png,75.99284,141.19455,121.97926,11046
Normal_101.png,114.74138,156.88211,110.811066,9628
Normal_101.png,164.34602,126.26267,127.77884,9586
Normal_101.png,93.24849,147.97098,117.10327,9441
Normal_101.png,110.41782,139.49469,123.45758,9406
Normal_101.png,136.11108,167.02568,103.93054,8408
Normal_101.png,69.19096,124.08929,133.95554,8232
Normal_101.png,182.10143,175.96005,91.61063,7661
Normal_101.png,158.03992,178.63023,96.22267,7015
Normal_101.png,131.01024,147.01985,118.407,6548
Normal_101.png,161.1939,154.22261,111.82674,4317
Normal_101.png,208.84148,159.41537,88.944336,3072
Normal_102.png,0.21622969,127.9907,128.05383,28072
Normal_102.png,93.67104,124.7146,131.77243,18206
Normal_102.png,101.33541,125.13122,131.0282,16568
Normal_102.png,131.8563,128.82376,127.06222,15093
Normal_102.png,120.98845,127.580185,128.20602,14368
Normal_102.png,110.59383,126.55143,129.39703,13349
Normal_102.png,142.0122,130.58725,125.2399,12126
Normal_102.png,152.83817,132.94754,122.54903,10863
Normal_102.png,69.119576,130.74608,127.334305,10688
Normal_102.png,113.079315,142.1462,116.76572,9002
Normal_102.png,124.217804,140.13632,117.74851,8076
Normal_102.png,59.00192,129.19524,128.94089,7832
Normal_102.png,89.781456,138.57994,120.79394,7692
Normal_102.png,146.55292,138.79248,117.48259,7522
Normal_102.png,101.48977,143.12177,116.496765,7432
Normal_102.png,135.52136,140.32187,116.38378,7043
Normal_102.png,77.2647,136.78474,122.671135,6936
Normal_102.png,82.42968,129.69014,128.36986,6051
Normal_102.png,104.45076,135.87718,122.55832,5504
Normal_102.png,156.48256,140.2373,112.73139,3641
Normal_103.png,0.07019537,128.00119,127.99451,22010
Normal_103.png,159.35536,152.98239,105.75101,19310
Normal_103.png,110.57505,129.0566,120.746056,13058
Normal_103.png,97.357,125.35999,123.52264,13053
Normal_103.png,150.22676,157.2297,106.53616,12899
Normal_103.png,147.80382,147.25429,110.03965,12081
Normal_103.png,169.63481,153.56886,103.4687,11372
Normal_103.png,124.851555,133.8003,117.57871,11237
Normal_103.png,83.90398,129.69167,125.050224,11050
Normal_103.png,140.91702,137.13242,115.39147,10195
Normal_103.png,137.02782,158.482,108.96813,10135
Normal_103.png,130.44519,145.58186,112.588875,9688
Normal_103.png,98.61019,135.17647,120.83458,9497
Normal_103.png,114.11484,141.10374,116.64244,8116
Normal_103.png,67.46525,135.82315,122.23684,7351
Normal_103.png,82.24558,142.55576,119.2209,5713
Normal_103.png,118.4381,156.7459,112.04929,5234
Normal_103.png,99.54516,150.78198,115.4771,4628
Normal_103.png,187.99051,148.99902,103.432816,4108
Normal_103.png,25.493454,129.55992,126.41188,993
Normal_104.png,0.23891307,127.98116,128.03027,21602
Normal_104.png,109.86172,130.51443,130.48701,16039
Normal_104.png,101.22347,126.09853,131.88266,15143
Normal_104.png,117.556915,127.95159,130.82962,13758
Normal_104.png,123.2425,134.54996,128.8726,12379
Normal_104.png,56.165394,120.696884,135.75659,11639
Normal_104.png,66.66997,122.22674,135.39278,11220
Normal_104.png,77.66384,124.05401,134.20877,10849
Normal_104.png,143.96143,123.73344,132.07437,10838
Normal_104.png,138.2058,133.37422,128.8909,10788
Normal_104.png,151.39139,135.55676,128.20767,9972
Normal_104.png,91.65456,120.08358,134.34105,9799
Normal_104.png,156.27917,146.70018,121.58344,8772
Normal_104.png,89.321625,127.50346,132.16093,8513
Normal_104.png,168.0133,145.0491,119.66038,7738
Normal_104.png,129.3633,124.9981,131.74477,7366
Normal_104.png,131.15582,140.17757,125.72019,6533
Normal_104.png,144.0563,145.893,122.91563,6056
Normal_104.png,181.58286,143.70255,117.65411,5389
Normal_104.png,200.87491,140.6464,117.99231,1431
Normal_105.png,0.32529116,128.0184,128.00795,19232
Normal_105.png,118.24204,132.09839,122.494194,15927
Normal_105.png,116.57026,157.46767,106.27482,13529
Normal_105.png,134.38043,165.1772,100.12423,13064
Normal_105.png,126.13973,157.07762,104.08802,12589
Normal_105.png,143.48122,162.13214,99.27317,12040
Normal_105.png,58.622826,137.24522,124.53933,11785
Normal_105.png,66.085976,140.04173,121.774765,11526
Normal_105.png,135.49515,155.35112,104.27739,11352
Normal_105.png,121.823875,141.03224,117.282936,10515
Normal_105.png,127.1111,149.03029,111.39304,9775
Normal_105.png,74.541275,144.00983,119.15051,9461
Normal_105.png,113.599754,141.20534,118.761665,8727
Normal_105.png,84.74316,148.87666,115.9113,7565
Normal_105.png,106.551506,157.56546,108.987236,7523
Normal_105.png,123.59141,166.24625,102.501205,7472
Normal_105.png,95.58662,153.30598,112.87216,7337
Normal_105.png,153.14386,161.80254,96.3644,4720
Normal_105.png,101.5571,136.56429,124.99421,4317
Normal_105.png,85.57984,136.42249,126.25675,4296
Normal_106.png,130.11702,125.37379,126.5539,23107
Normal_106.png,0.54780245,128.03131,127.95126,19863
Normal_106.png,125.72124,131.96992,123.93345,18453
Normal_106.png,125.1269,140.6266,118.78443,13546
Normal_106.png,139.0745,163.44968,101.84522,13316
Normal_106.png,149.19525,163.26521,98.051735,11191
Normal_106.png,129.12889,162.89915,104.4512,10769
Normal_106.png,196.40761,145.56445,93.8287,10029
Normal_106.png,116.72793,148.50587,115.618324,9516
Normal_106.png,160.99493,161.2972,95.25053,9492
Normal_106.png,185.13965,151.4339,92.03744,9295
Normal_106.png,173.12209,157.25456,93.02249,9157
Normal_106.png,130.24127,152.01045,112.21882,9085
Normal_106.png,118.58086,158.79071,106.93012,8787
Normal_106.png,84.80806,142.94699,116.65089,8112
Normal_106.png,95.38677,149.16414,112.91171,7317
Normal_106.png,106.0496,154.4759,109.5398,7199
Normal_106.png,111.434166,135.4457,126.023575,3987
Normal_106.png,60.71657,135.85715,118.93143,875
Normal_106.png,190.07143,134.9762,112.52976,168
Normal_107.png,0.09035813,128.00032,128.00882,21780
Normal_107.png,152.52145,145.54735,118.458145,18922
Normal_107.png,146.03343,142.48494,120.44657,17621
Normal_107.png,159.29582,150.90866,116.56267,14769
Normal_107.png,151.99098,154.3197,116.77893,13516
Normal_107.png,166.09071,149.13603,116.388985,12710
Normal_107.png,91.142,130.18573,131.65436,11775
Normal_107.png,134.92085,142.05896,120.659935,9601
Normal_107.png,139.91124,137.30786,124.68115,9092
Normal_107.png,83.93836,126.98754,132.94344,9069
Normal_107.png,143.39108,154.47565,117.6274,8975
Normal_107.png,123.66758,139.19583,123.09673,8405
Normal_107.png,101.07998,132.1314,129.29573,8190
Normal_107.png,115.1254,145.84682,124.2351,7201
Normal_107.png,112.209015,136.15541,125.913925,7052
Normal_107.png,133.90474,153.043,119.437675,6603
Normal_107.png,105.18133,141.51329,126.97097,6546
Normal_107.png,124.69564,149.5727,121.82462,6466
Normal_107.png,95.45155,137.363,129.34566,6110
Normal_107.png,39.493702,127.51133,130.74811,397
Normal_108.png,0.15941294,127.968315,128.10695,19691
Normal_108.png,157.0535,150.48068,116.4981,19685
Normal_108.png,142.07463,143.92406,120.624084,15421
Normal_108.png,149.7745,146.24138,118.02916,15366
Normal_108.png,165.69206,147.66594,115.24088,14779
Normal_108.png,134.77052,139.30507,123.69597,13400
Normal_108.png,126.579926,130.15569,129.84659,12281
Normal_108.png,148.05373,154.42151,118.15446,12211
Normal_108.png,89.57344,127.52268,132.87154,10205
Normal_108.png,83.43684,123.06215,134.67293,8399
Normal_108.png,105.78966,133.21877,128.17607,7963
Normal_108.png,134.57428,151.65218,120.30124,7768
Normal_108.png,126.013176,139.34407,122.44567,7510
Normal_108.png,97.36343,128.89473,130.78772,7476
Normal_108.png,115.925896,136.49324,125.266136,7098
Normal_108.png,176.85637,142.45099,114.91495,6949
Normal_108.png,109.14435,142.36366,126.53326,6616
Normal_108.png,121.1886,147.13206,123.57499,6527
Normal_108.png,96.19801,136.89743,129.92142,6045
Normal_108.png,38.218895,125.497696,134.01613,434
Normal_109.png,0.32690793,127.971275,128.15916,21581
Normal_109.png,89.15862,147.54953,119.70239,14771
Normal_109.png,79.09382,144.45232,122.948166,13484
Normal_109.png,89.77496,139.84756,128.80972,12976
Normal_109.png,100.82377,139.64264,129.49263,12886
Normal_109.png,99.3916,146.67041,123.15842,11836
Normal_109.png,32.155285,128.7587,134.67809,11276
Normal_109.png,67.3585,142.85767,124.160355,10321
Normal_109.png,54.917305,139.05084,127.84135,9795
Normal_109.png,42.783184,134.16093,130.97716,9718
Normal_109.png,50.520107,126.21472,139.03734,9375
Normal_109.png,65.41715,130.01941,135.99057,9222
Normal_109.png,127.61401,146.33742,119.830246,8565
Normal_109.png,79.34437,133.6022,133.9207,8424
Normal_109.png,99.784454,152.06944,114.72702,8323
Normal_109.png,111.78574,154.62964,112.78258,8219
Normal_109.png,112.978905,143.8347,124.17379,7774
Normal_109.png,124.73375,157.43771,109.48325,6479
Normal_109.png,140.60646,156.0482,108.218735,5166
Normal_109.png,155.85559,153.78542,109.913536,2209
Normal_110.png,0.124122016,128.00565,128.0052,20359
Normal_110.png,134.69841,131.68039,131.84032,20140
Normal_110.png,124.24386,125.35668,135.77885,16690
Normal_110.png,146.88199,136.34612,130.59373,16093
Normal_110.png,160.58247,143.19525,127.54583,13592
Normal_110.png,113.74968,121.856224,135.36903,13459
Normal_110.png,154.98384,149.41162,122.1973,13051
Normal_110.png,128.38162,140.6684,124.28571,10437
Normal_110.png,119.85317,134.73529,127.536415,10298
Normal_110.png,144.10657,156.26506,113.07554,9862
Normal_110.png,156.13411,155.22609,111.06381,9231
Normal_110.png,136.78249,150.34639,119.71302,8551
Normal_110.png,115.62347,149.55653,119.94229,7261
Normal_110.png,168.64159,153.0114,108.8936,7190
Normal_110.png,127.27252,154.45923,116.25698,6304
Normal_110.png,104.25223,145.91129,122.41909,5963
Normal_110.png,92.3328,142.34018,124.48823,5012
Normal_110.png,181.42946,149.55017,107.86868,4813
Normal_110.png,79.08748,135.72046,126.8796,3098
Normal_110.png,37.839508,128.37962,129.12346,324
Normal_111.png,0.11653212,127.99973,128.01074,22792
Normal_111.png,129.8577,128.31863,139.68726,19304
Normal_111.png,133.13728,134.28746,134.5862,18743
Normal_111.png,110.615204,142.65536,125.86379,13098
Normal_111.png,115.88656,147.215,122.15022,13047
Normal_111.png,124.64663,140.03264,129.64505,11396
Normal_111.png,144.80562,150.4079,124.060776,10515
Normal_111.png,109.14353,134.76944,132.21371,10388
Normal_111.png,124.619545,147.99776,121.577415,10301
Normal_111.png,125.49578,124.20079,142.92126,9831
Normal_111.png,101.87532,139.1325,127.95157,9705
Normal_111.png,119.75253,133.21129,133.56445,8789
Normal_111.png,134.95097,148.86009,123.03668,8506
Normal_111.png,115.12771,122.65574,140.5651,7259
Normal_111.png,103.91324,122.354546,138.40686,7054
Normal_111.png,141.58194,142.96475,131.41037,6353
Normal_111.png,152.83177,150.48825,122.12317,6081
Normal_111.png,90.586395,123.398094,136.5731,4514
Normal_111.png,92.42425,134.68092,129.27841,4231
Normal_111.png,44.84985,128.15015,131.57658,333
Normal_112.png,0.6571568,128.11194,127.846146,28567
Normal_112.png,92.52639,130.41878,110.66174,17525
Normal_112.png,113.336044,143.27391,101.92727,14355
Normal_112.png,123.84923,145.99791,100.38502,14306
Normal_112.png,103.33878,136.53291,106.11018,14068
Normal_112.png,132.55112,156.25645,94.00236,14030
Normal_112.png,138.80725,168.62314,86.451065,11943
Normal_112.png,148.39433,177.38757,79.67162,11100
Normal_112.png,136.46118,180.34247,77.98136,10462
Normal_112.png,148.35933,188.23035,72.11003,10297
Normal_112.png,79.73793,131.40903,113.86008,8662
Normal_112.png,121.21633,154.96721,95.135025,8265
Normal_112.png,162.3065,190.1374,66.50538,7256
Normal_112.png,55.814476,137.8293,115.099884,7018
Normal_112.png,67.01217,143.18407,110.1779,6987
Normal_112.png,91.41668,140.35693,106.740746,6511
Normal_112.png,95.049225,156.28851,97.99022,6440
Normal_112.png,79.14772,150.626,104.28478,6289
Normal_112.png,122.417564,173.86893,83.634834,6126
Normal_112.png,107.64675,166.02289,90.37938,5857
Normal_113.png,0.2693277,127.966385,128.1793,26982
Normal_113.png,52.30279,126.32523,131.31897,21259
Normal_113.png,93.01113,136.90431,120.98815,15541
Normal_113.png,242.4125,116.44025,131.35345,12836
Normal_113.png,70.49909,131.7682,126.109436,12619
Normal_113.png,204.27983,160.46846,97.228264,11732
Normal_113.png,187.63239,166.1464,97.58931,10889
Normal_113.png,198.67021,123.21959,133.7574,10219
Normal_113.png,111.09383,142.76476,117.132965,10168
Normal_113.png,220.54637,115.86722,136.36612,9964
Normal_113.png,204.37079,144.12006,114.65029,9871
Normal_113.png,129.93695,149.80505,112.41872,9818
Normal_113.png,149.02933,157.39697,106.73538,9648
