FileName,R1,G1,B1,Count1,R2,G2,B2,Count2,R3,G3,B3,Count3,R4,G4,B4,Count4,R5,G5,B5,Count5
Normal_178.jpg,150,106,82,66367,122,87,66,62701,0,0,0,59799,215,115,79,40830,75,60,46,32447
Normal_179.jpg,131,94,71,68557,0,0,0,64436,189,101,73,44882,153,124,99,43069,80,61,47,41200
Normal_18.jpg,0,0,0,73806,122,103,103,59364,151,149,155,46096,67,59,65,42898,200,126,105,39980
Normal_180.jpg,134,92,69,76265,0,0,0,60424,157,121,96,47077,77,59,44,41033,211,107,77,37345
Normal_181.jpg,131,89,81,75481,0,0,0,74816,83,55,51,58535,187,95,68,37003,248,146,76,16309
Normal_182.jpg,154,100,79,74402,0,0,0,60751,119,87,69,56910,72,56,44,36794,219,110,81,33287
Normal_183.jpg,0,0,0,73974,82,71,105,67712,103,92,135,48110,83,56,73,42798,51,38,53,29550
Normal_184.jpg,0,0,0,74057,127,92,133,68491,165,121,175,45301,91,65,93,45199,231,142,184,29096
Normal_185.jpg,0,0,0,74098,120,92,131,64226,89,58,80,56626,156,82,96,38741,228,109,106,28453
Normal_186.jpg,0,0,0,74811,108,98,70,68342,79,64,42,47722,134,84,43,45747,184,120,63,25522
Normal_187.jpg,0,0,0,74049,117,90,127,59783,71,45,61,54840,147,78,93,45405,232,115,109,28067
Normal_188.jpg,0,0,0,74063,118,76,97,69246,65,41,54,48930,169,92,105,46295,239,116,105,23610
Normal_189.jpg,0,0,0,74749,122,104,139,53986,134,80,89,47174,80,51,61,44207,96,79,107,42028
Normal_19.jpg,0,0,0,75269,119,104,105,71542,130,136,142,50693,80,69,73,44949,185,132,118,19691
Normal_190.jpg,124,85,109,78061,0,0,0,74719,81,63,85,59479,55,40,54,26769,192,101,109,23116
Normal_191.jpg,0,0,0,74138,46,36,55,73402,120,67,89,52014,81,52,72,50590,170,84,97,12000
Normal_192.jpg,0,0,0,74100,68,52,80,61323,173,99,130,43865,117,75,104,42927,229,129,163,39929
Normal_193.jpg,0,0,0,74295,137,129,138,62548,89,70,68,52579,141,93,78,48716,230,135,88,24006
Normal_194.jpg,116,97,81,72887,0,0,0,59732,166,91,72,47662,75,56,45,45546,216,115,86,36317
Normal_195.jpg,0,0,0,73999,104,80,117,63070,139,71,84,51196,71,44,60,46731,220,102,99,27148
Normal_196.jpg,0,0,0,59684,67,55,46,57478,164,110,88,52099,116,81,66,47153,219,132,102,45730
Normal_197.jpg,0,0,0,74966,128,86,50,63349,129,125,90,48038,87,63,40,45502,188,97,38,30289
Normal_198.jpg,0,0,0,74140,109,55,63,69402,53,34,45,60040,109,75,97,43966,200,88,77,14596
Normal_199.jpg,176,133,90,92222,0,0,0,59828,100,82,57,41935,143,105,72,37421,67,58,41,30738
