FileName,R1,G1,B1,R2,G2,B2,R3,G3,B3,R4,G4,B4,R5,G5,B5
Normal_191.jpg,170,84,97,120,67,89,46,36,55,0,0,0,81,52,72
Normal_192.jpg,229,129,163,68,52,80,173,99,130,0,0,0,117,75,104
Normal_193.jpg,89,70,68,137,129,138,0,0,0,230,135,88,141,93,78
Normal_194.jpg,0,0,0,75,56,45,166,91,72,116,97,81,216,115,86
Normal_195.jpg,0,0,0,71,44,60,220,102,99,104,80,117,139,71,84
Normal_196.jpg,219,132,102,116,81,66,164,110,88,67,55,46,0,0,0
Normal_197.jpg,188,97,38,128,86,50,0,0,0,87,63,40,129,125,90
Normal_198.jpg,53,34,45,0,0,0,109,55,63,109,75,97,200,88,77
Normal_199.jpg,67,58,41,0,0,0,176,133,90,100,82,57,143,105,72
Normal_2.jpg,224,161,142,97,87,94,0,0,0,142,115,115,176,135,130
Normal_20.jpg,68,65,71,0,0,0,113,99,101,213,166,155,174,125,117
Normal_200.jpg,123,98,77,0,0,0,160,141,111,217,129,91,80,64,50
Normal_201.jpg,177,120,87,146,136,103,0,0,0,83,68,51,127,96,72
Normal_202.jpg,115,77,102,0,0,0,175,90,98,117,101,146,74,49,64
Normal_203.jpg,132,142,164,0,0,0,139,87,78,103,104,122,70,54,57
Normal_204.jpg,129,122,134,0,0,0,154,105,103,52,44,51,100,76,81
Normal_205.jpg,0,0,0,75,55,55,196,98,69,124,112,113,128,79,68
Normal_206.jpg,0,0,0,227,148,119,145,114,110,91,82,88,253,216,159
Normal_207.jpg,0,0,0,121,86,59,165,124,85,63,54,37,224,157,103
Normal_208.jpg,0,0,0,150,126,106,187,119,75,80,75,69,113,101,87
Normal_209.jpg,88,65,52,126,91,77,0,0,0,150,133,114,173,109,88
Normal_21.jpg,161,109,97,217,133,112,0,0,0,112,82,78,71,60,62
Normal_210.jpg,0,0,0,90,82,90,237,156,127,158,115,110,253,216,155
Normal_211.jpg,209,119,86,66,53,58,127,95,91,253,201,120,0,0,0
Normal_212.jpg,125,107,100,72,62,64,115,136,153,221,152,103,0,0,0
Normal_213.jpg,80,66,71,141,156,173,126,106,107,0,0,0,211,132,96
Normal_214.jpg,0,0,0,170,155,142,54,49,47,94,82,77,128,118,110
Normal_215.jpg,76,54,46,234,149,96,0,0,0,210,88,63,141,68,53
Normal_216.jpg,106,109,111,169,153,147,89,86,87,0,0,0,140,129,126
Normal_217.jpg,135,123,123,149,165,173,231,163,117,0,0,0,85,75,74
Normal_218.jpg,155,91,71,68,54,43,0,0,0,112,88,70,212,104,76
Normal_219.jpg,75,57,43,0,0,0,144,155,131,108,103,88,128,85,56
Normal_22.jpg,78,62,64,176,113,90,137,127,133,102,95,103,0,0,0
Normal_220.jpg,130,99,71,177,104,73,0,0,0,225,118,73,78,64,45
Normal_221.jpg,0,0,0,168,90,59,67,50,35,224,119,72,117,81,56
Normal_222.jpg,0,0,0,109,82,60,139,116,87,157,142,105,175,108,77
Normal_223.jpg,161,98,67,64,50,36,114,74,52,217,121,76,0,0,0
