FileName,Y,Cb,Cr,Count
laser_scars_1.png,0.026359377,128.00266,127.99541,21131
laser_scars_1.png,170.06557,144.22237,100.0079,9120
laser_scars_1.png,175.44087,154.10583,92.68508,8542
laser_scars_1.png,181.50497,141.25897,96.705025,7943
laser_scars_1.png,169.57027,156.23126,92.628105,7537
laser_scars_1.png,168.44934,152.39134,95.92013,7362
laser_scars_1.png,178.06738,138.16914,101.8143,7302
laser_scars_1.png,166.4906,149.02618,98.90018,6912
laser_scars_1.png,172.57936,138.96095,102.680046,6376
laser_scars_1.png,179.78395,149.26541,95.572624,6341
laser_scars_1.png,172.65431,148.91626,97.88483,6234
laser_scars_1.png,175.63174,142.787,97.392845,6061
laser_scars_1.png,161.79836,144.18362,101.2265,5713
laser_scars_1.png,153.90094,158.77301,96.50854,5683
laser_scars_1.png,151.70238,129.76416,108.56575,5665
laser_scars_1.png,157.75264,133.2394,106.328445,5660
laser_scars_1.png,145.72678,126.40765,111.09144,5490
laser_scars_1.png,162.32271,157.61642,94.19601,5454
laser_scars_1.png,136.83975,159.79453,101.16657,5373
laser_scars_1.png,146.10255,160.22804,98.389336,5363
laser_scars_1.png,133.86761,136.83878,111.13157,4925
laser_scars_1.png,165.33397,135.68643,104.47215,4704
laser_scars_1.png,154.48769,143.83244,103.53342,4548
laser_scars_1.png,137.49564,128.63951,112.19356,4469
laser_scars_1.png,147.59863,141.22322,106.269264,4126
laser_scars_1.png,141.90747,133.84833,109.19668,4042
laser_scars_1.png,139.6856,141.75441,107.64953,3909
laser_scars_1.png,186.53752,142.25325,94.224075,3771
laser_scars_1.png,181.14267,152.07892,89.47318,3561
laser_scars_1.png,157.3859,151.84534,98.332115,3291
laser_scars_1.png,146.90385,151.03923,100.16861,2829
laser_scars_1.png,126.77534,135.84702,114.82813,2595
laser_scars_1.png,124.76707,156.44064,106.92845,2460
laser_scars_1.png,125.46488,129.03122,112.9883,2050
laser_scars_1.png,195.1455,141.89548,91.8802,1636
laser_scars_1.png,206.11902,138.93816,90.724625,857
