FileName,R,G,B,Count
Normal_1.png,156.92242,118.683914,95.39036,70225
Normal_1.png,105.57314,90.033066,78.65772,53988
Normal_1.png,244.65965,161.13899,81.72066,33275
Normal_10.png,105.33389,81.540054,85.17526,72235
Normal_10.png,69.8661,59.439323,68.1446,61087
Normal_10.png,150.1962,113.42958,110.99638,33165
Normal_100.png,154.89091,141.28523,151.83594,50874
Normal_100.png,75.9563,56.86441,61.33303,48647
Normal_100.png,112.70497,114.63425,131.9655,44057
Normal_101.png,113.48237,97.88366,96.966576,68875
Normal_101.png,56.886257,47.35923,50.601295,55407
Normal_101.png,142.8825,144.27534,145.34076,34318
Normal_102.png,101.10141,97.566216,97.69776,62579
Normal_102.png,127.91445,119.056526,113.931885,48813
Normal_102.png,153.44809,142.84944,133.81256,45386
Normal_103.png,165.4951,129.02042,108.721146,47824
Normal_103.png,197.79018,152.12546,122.30189,47323
Normal_103.png,121.94409,108.9797,94.85483,45559
Normal_104.png,103.89561,104.05396,110.94939,57793
Normal_104.png,140.44926,131.59628,136.98697,57175
Normal_104.png,60.835888,70.4048,81.143814,37925
Normal_105.png,179.96564,120.84597,89.121704,63891
Normal_105.png,130.96758,112.8852,102.76853,43798
Normal_105.png,88.73283,63.201782,58.736797,43066
Normal_106.png,133.244,123.99323,117.33107,65475
Normal_106.png,182.59694,121.36228,92.794655,53949
Normal_106.png,216.35654,175.57724,120.27534,34644
Normal_107.png,187.7613,144.85757,137.66032,59614
Normal_107.png,164.06091,131.3741,127.682724,53663
Normal_107.png,97.012024,89.014496,97.5245,36088
Normal_108.png,168.70558,132.03726,128.25299,53228
Normal_108.png,190.96783,151.48158,141.06721,47173
Normal_108.png,135.14876,115.61262,118.06503,46975
Normal_109.png,121.03043,86.62198,89.00217,67677
Normal_109.png,88.64408,64.97355,72.49749,44608
Normal_109.png,48.79442,39.843178,53.99533,37922
Normal_110.png,128.6026,124.17232,134.5331,69052
Normal_110.png,185.93611,148.00066,145.81487,58848
Normal_110.png,167.50348,120.97621,115.40213,33034
Normal_111.png,131.21133,123.41165,145.53026,62299
Normal_111.png,140.02914,106.89601,111.739204,48716
Normal_111.png,106.185196,98.12535,111.01658,36976
Normal_112.png,158.39038,114.98606,65.536545,58892
Normal_112.png,109.52861,96.56325,58.77681,52973
Normal_112.png,218.66986,125.034966,55.03124,51509
Normal_113.png,225.64375,175.80835,146.85295,56000
Normal_113.png,212.98494,222.93648,222.93312,48037
Normal_113.png,69.78519,65.27233,65.869896,44857
Normal_114.png,131.43011,124.09611,132.59561,74652
Normal_114.png,165.4445,121.53329,119.621445,45557
Normal_114.png,196.76848,148.65695,130.54466,33013
Normal_115.png,149.19194,140.01106,127.62698,64641
Normal_115.png,85.688774,93.703476,98.58175,46169
Normal_115.png,118.83977,116.78141,112.706795,39001
Normal_116.png,131.29678,106.47551,107.37017,64421
Normal_116.png,169.75615,122.33847,118.73759,63487
Normal_116.png,99.54873,83.59492,87.77945,33235
Normal_117.png,184.41806,132.1028,123.055405,53604
Normal_117.png,152.07056,96.506294,88.24333,48178
Normal_117.png,141.73494,116.58045,122.28332,48073
Normal_118.png,152.1669,124.252426,83.22016,56285
Normal_118.png,171.89783,148.77577,107.36907,53721
Normal_118.png,191.82712,134.55142,76.968636,44380
