FileName,R,G,B,Count
Stage_1_ROP_1.png,104.83335,96.22837,104.01773,58688
Stage_1_ROP_1.png,74.19503,54.40825,55.82317,48997
Stage_1_ROP_1.png,133.96997,128.90878,137.99417,44222
Stage_1_ROP_1.png,181.03145,111.40605,99.20987,34217
Stage_1_ROP_10.png,98.642044,84.22455,61.48042,60566
Stage_1_ROP_10.png,113.77349,106.01358,79.76371,48169
Stage_1_ROP_10.png,118.16382,131.39322,106.6237,45868
Stage_1_ROP_10.png,70.570305,63.77041,48.497974,35267
Stage_1_ROP_100.png,126.48217,97.66736,67.58226,76076
Stage_1_ROP_100.png,149.73328,128.17819,90.724396,50906
Stage_1_ROP_100.png,76.7678,61.4858,42.01112,46947
Stage_1_ROP_100.png,180.70142,97.912415,65.09957,27939
Stage_1_ROP_11.png,140.11714,109.08367,106.95209,60399
Stage_1_ROP_11.png,106.43529,93.81817,101.13733,54970
Stage_1_ROP_11.png,174.98735,124.33847,107.21814,43023
Stage_1_ROP_11.png,79.1181,70.10895,74.91287,30254
Stage_1_ROP_15.png,165.93512,145.43352,117.02481,82490
Stage_1_ROP_15.png,132.72217,116.51819,94.12914,43540
Stage_1_ROP_15.png,96.44673,85.820656,70.5458,40982
Stage_1_ROP_15.png,62.21304,57.030743,47.55086,35294
Stage_1_ROP_16.png,204.82838,152.29767,186.2597,58028
Stage_1_ROP_16.png,234.50575,140.92772,153.49866,49976
Stage_1_ROP_16.png,164.93947,125.69637,151.72958,49524
Stage_1_ROP_16.png,117.85136,98.678444,129.72852,28580
Stage_1_ROP_17.png,182.52348,126.70535,149.6332,70210
Stage_1_ROP_17.png,145.43446,111.9684,136.03488,47652
Stage_1_ROP_17.png,100.44948,89.170975,113.54559,39982
Stage_1_ROP_17.png,226.75781,144.2749,160.123,29618
Stage_1_ROP_18.png,119.56227,99.11447,84.84737,58819
Stage_1_ROP_18.png,84.87565,65.75128,58.23624,55312
Stage_1_ROP_18.png,222.30484,119.220955,91.888306,45436
Stage_1_ROP_18.png,169.14485,97.6946,77.920265,42226
Stage_1_ROP_19.png,136.7811,111.04906,89.63923,77357
Stage_1_ROP_19.png,159.05418,139.92601,119.27962,58843
Stage_1_ROP_19.png,82.153694,69.14723,55.5988,34509
Stage_1_ROP_19.png,184.65839,170.38098,146.072,30815
Stage_1_ROP_2.png,106.421234,117.03317,122.56561,85124
Stage_1_ROP_2.png,94.1108,94.57457,92.75057,40063
Stage_1_ROP_2.png,140.61159,119.677795,99.41074,37746
Stage_1_ROP_2.png,182.69908,140.128,107.91012,25133
Stage_1_ROP_20.png,170.43135,149.07814,121.33595,65145
Stage_1_ROP_20.png,137.43738,116.78731,93.654305,53165
Stage_1_ROP_20.png,192.6919,180.04042,147.34782,42797
Stage_1_ROP_20.png,94.65333,81.04413,64.78254,40839
Stage_1_ROP_21.png,156.35081,120.86314,91.252846,69363
Stage_1_ROP_21.png,134.20679,92.12884,68.546745,60767
Stage_1_ROP_21.png,89.788765,69.73287,55.57843,45091
Stage_1_ROP_21.png,218.31084,116.383675,79.72477,27007
Stage_1_ROP_22.png,141.92361,126.84974,176.63551,63532
Stage_1_ROP_22.png,175.19678,152.13802,209.35068,54965
Stage_1_ROP_22.png,209.93373,184.35878,243.84273,45482
Stage_1_ROP_22.png,107.32752,94.331764,135.86476,24734
Stage_1_ROP_23.png,173.69464,135.58997,108.217224,75507
Stage_1_ROP_23.png,137.62416,126.022125,102.48252,51125
Stage_1_ROP_23.png,91.09123,75.408844,64.31204,46705
Stage_1_ROP_23.png,148.31221,89.55487,70.77612,28488
Stage_1_ROP_24.png,142.72,121.376816,102.7644,62036
Stage_1_ROP_24.png,195.72748,155.75514,132.60005,60609
Stage_1_ROP_24.png,221.14932,136.60208,97.293884,35701
Stage_1_ROP_24.png,110.55441,80.161415,63.120872,29799
Stage_1_ROP_25.png,124.370575,111.54191,97.701225,53096
Stage_1_ROP_25.png,121.24377,88.33528,68.22675,51915
Stage_1_ROP_25.png,152.7754,133.10565,114.02064,47393
Stage_1_ROP_25.png,86.35575,64.61119,54.507103,34701
Stage_1_ROP_26.png,149.61324,135.80974,192.5975,83641
Stage_1_ROP_26.png,212.01022,129.1967,156.71791,42277
Stage_1_ROP_26.png,153.01526,107.96397,133.73392,34527
Stage_1_ROP_26.png,116.45208,85.623886,108.95505,28316
Stage_1_ROP_27.png,132.91696,85.86382,117.53894,67237
Stage_1_ROP_27.png,149.31772,112.76216,156.1718,53309
Stage_1_ROP_27.png,89.87223,64.234314,96.23175,44457
Stage_1_ROP_27.png,223.42973,137.09999,167.56534,22353
Stage_1_ROP_28.png,133.23708,101.86343,87.162964,74986
Stage_1_ROP_28.png,82.83857,65.8597,56.58693,46372
Stage_1_ROP_28.png,150.60274,130.078,117.834404,45810
Stage_1_ROP_28.png,200.68686,112.93403,87.6593,34955
Stage_1_ROP_29.png,139.34958,112.03173,157.56677,65868
Stage_1_ROP_29.png,119.36169,99.75983,140.00354,51670
Stage_1_ROP_29.png,159.34457,122.07693,171.66862,37243
Stage_1_ROP_29.png,100.394196,85.677635,123.76627,32525
Stage_1_ROP_3.png,99.301674,104.307785,113.071144,66261
Stage_1_ROP_3.png,95.47898,88.02471,91.395515,61115
Stage_1_ROP_3.png,73.0627,67.09694,70.022766,39314
Stage_1_ROP_3.png,121.89694,105.943214,104.968155,19688
Stage_1_ROP_30.png,97.94212,72.819405,70.25811,65042
Stage_1_ROP_30.png,121.11984,113.125305,115.59291,55966
Stage_1_ROP_30.png,169.89362,115.47992,95.278336,42945
Stage_1_ROP_30.png,230.95056,133.16302,91.96676,24003
Stage_1_ROP_32.png,193.5249,175.49265,144.5117,58592
Stage_1_ROP_32.png,160.31493,142.40762,116.04022,53797
Stage_1_ROP_32.png,123.5188,107.75532,87.70863,46309
Stage_1_ROP_32.png,80.21687,70.593475,56.398483,43648
Stage_1_ROP_33.png,139.41048,149.1328,177.75447,56152
Stage_1_ROP_33.png,187.21075,183.26357,207.85828,51607
Stage_1_ROP_33.png,127.86757,109.0026,116.29245,40308
Stage_1_ROP_33.png,212.50967,165.6201,158.59372,40051
Stage_1_ROP_34.png,117.27713,98.225716,83.335815,70199
Stage_1_ROP_34.png,71.20143,55.958424,47.390785,56929
Stage_1_ROP_34.png,222.70654,118.983734,93.57943,42226
Stage_1_ROP_34.png,165.76482,100.32755,81.14393,31967
Stage_1_ROP_35.png,156.7345,140.1553,123.108,69603
Stage_1_ROP_35.png,131.14313,97.32755,85.01039,52925
Stage_1_ROP_35.png,196.95787,120.397575,101.28767,40797
Stage_1_ROP_35.png,84.43333,67.37221,59.034767,34572
Stage_1_ROP_36.png,127.02493,112.49313,100.64373,75732
Stage_1_ROP_36.png,147.63574,140.26921,130.36613,56917
Stage_1_ROP_36.png,205.28102,128.55896,104.11894,32872
Stage_1_ROP_36.png,82.37358,73.89859,65.578026,31270
Stage_1_ROP_37.png,96.97526,77.3575,67.15115,110054
Stage_1_ROP_37.png,122.88753,94.275665,80.78528,45370
Stage_1_ROP_37.png,69.44504,55.76022,48.974266,34469
Stage_1_ROP_37.png,181.39232,108.42707,85.84137,11656
Stage_1_ROP_38.png,158.556,123.12176,108.422554,101026
Stage_1_ROP_38.png,127.05711,99.35242,86.12174,40643
Stage_1_ROP_38.png,176.572,153.03436,140.15793,34800
Stage_1_ROP_38.png,81.33798,72.07342,63.390263,25498
Stage_1_ROP_39.png,177.14182,123.75151,128.38783,59655
Stage_1_ROP_39.png,108.21013,103.53734,119.94811,51208
Stage_1_ROP_39.png,230.62312,128.23227,111.99201,48310
Stage_1_ROP_39.png,107.05724,72.98814,77.100845,26465
Stage_1_ROP_4.png,172.22571,119.736496,110.05569,59832
Stage_1_ROP_4.png,166.36514,169.23595,174.8444,53449
Stage_1_ROP_4.png,111.55112,109.73331,119.228424,44553
Stage_1_ROP_4.png,228.46556,164.92944,149.3642,27101
Stage_1_ROP_40.png,144.22165,120.26977,113.81537,54580
Stage_1_ROP_40.png,104.36167,90.15367,85.98008,54553
Stage_1_ROP_40.png,186.16443,188.70184,189.2171,44671
Stage_1_ROP_40.png,153.23636,149.66463,150.67134,31485
